,title,price,link
407,"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" NT FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light- 1.63Kg","49,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNjI4ODQ1MzQ0NzY5OTQxOjE3NzYyNjMyMjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDg0MTQ4MzcwODMzMjo6MTo6&url=%2FDell-Previously-Inspiron-Processor-Display%2Fdp%2FB0BQJ68HHC%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26crid%3D1PEV1D2F313P7%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0BQJ68HHC%26pd_rd_r%3D3cb5282a-45e1-48b2-b5ad-f2a86e7409d7%26pd_rd_w%3D2L24M%26pd_rd_wg%3DpYSn4%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3DDFHQPGXW4DF7NS2CJHQ9%26qid%3D1776263223%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapto%252Caps%252C520%26sr%3D1-274-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DvwCMqEc1uX%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=vwCMqEc1uX&sp_cr=ZAZ
408,"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 1TB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0015QU, Light-Weight, Next-Gen AI Laptop","83,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNjI4ODQ1MzQ0NzY5OTQxOjE3NzYyNjMyMjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDYxOTA4NTA0OTIzMjo6Mjo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P844W2%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26crid%3D1PEV1D2F313P7%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F8P844W2%26pd_rd_r%3D3cb5282a-45e1-48b2-b5ad-f2a86e7409d7%26pd_rd_w%3D2L24M%26pd_rd_wg%3DpYSn4%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3DDFHQPGXW4DF7NS2CJHQ9%26qid%3D1776263223%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapto%252Caps%252C520%26sr%3D1-275-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DGE0g1xddo3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=GE0g1xddo3&sp_cr=ZAZ
409,"Lenovo LOQ, AMD Ryzen 5 7235HS, RTX 3050-6GB, 24GB RAM, 512GB SSD, FHD, 15.6""/39.6cm, 144Hz, Windows 11, Office Home 2024, Grey, 2.4Kg, 3 Mon. Game Pass, 83JC00EFIN, Gaming Laptop","83,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNjI4ODQ1MzQ0NzY5OTQxOjE3NzYyNjMyMjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUyNTE2MTc2MzUzMjo6Mzo6&url=%2FLenovo-Smartchoice-7235HS-Windows-83JC00EFIN%2Fdp%2FB0DPQG53ZR%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26crid%3D1PEV1D2F313P7%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DPQG53ZR%26pd_rd_r%3D3cb5282a-45e1-48b2-b5ad-f2a86e7409d7%26pd_rd_w%3D2L24M%26pd_rd_wg%3DpYSn4%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3DDFHQPGXW4DF7NS2CJHQ9%26qid%3D1776263223%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapto%252Caps%252C520%26sr%3D1-276-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DsuzcBhBOOp%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=suzcBhBOOp&sp_cr=ZAZ
410,"Primebook 2 Max 2026 (New Launch) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","28,990",https://amazon.in/sspa/click?ie=UTF8&spc=MToxNjI4ODQ1MzQ0NzY5OTQxOjE3NzYyNjMyMjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDcwNjM5MjAxMDAzMjo6NDo6&url=%2FPrimebook-Storage-15-6-Inch-MediaTek-Keyboard%2Fdp%2FB0FFMQB3KL%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%253Aamzn1.sym.c007a59b-1788-4f64-b1ed-4d72476022eb%26crid%3D1PEV1D2F313P7%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FFMQB3KL%26pd_rd_r%3D3cb5282a-45e1-48b2-b5ad-f2a86e7409d7%26pd_rd_w%3D2L24M%26pd_rd_wg%3DpYSn4%26pf_rd_p%3Dc007a59b-1788-4f64-b1ed-4d72476022eb%26pf_rd_r%3DDFHQPGXW4DF7NS2CJHQ9%26qid%3D1776263223%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapto%252Caps%252C520%26sr%3D1-277-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26aref%3DzUANlRM61Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zUANlRM61Y&sp_cr=ZAZ
411,HP External USB DVD-RW Drive for Laptops and Computers F6V97AA#ACJ,"3,534",https://amazon.in/HP-F6V97AA-ACJ-External-DVD-RW/dp/B00MDI0TBC/ref=sr_1_278?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.dRXVlZGJXgmHO2Qxx9s2gQ-5EyzKEVOVsAYFeon7qKQne_HbZtxWF-R2nTL9XY_fWDSbbldYnx7SgZmZTFMNOyDe2R8ZztG_nIkhasSUo_15DqzE239VVw6AVpBidL0CIA3iiuHJRSq2xGge8flF6nYKIPaYlAW3MW5qyoZ9TZpf_l4byPpI3if4ErhbCyOShXn3_Zkjx5m0iH5p7ak3ncx4TT23Xut7rZu9mPobipM.Nm7W0ShtpbHCmMjN0SYWx_9HNMuwa9bKCQH1Cl-3En4&dib_tag=se&keywords=laptop&qid=1776263223&sprefix=lapto%2Caps%2C520&sr=8-278
412,"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black","11,990",https://amazon.in/Neopticon-Student-Celeron-Expandable-Graphics/dp/B0G2MT8YVV/ref=sr_1_32?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.jdbhJLyvVij0mUoUOKf38Rk_w16K2kpRiaiAEbuwI6LpefPD41yJlPLsKJ0IkgHugVzs9nFvuXAYMxh3B3lGw4tx8Oj6_a6LOSVrluLwzITLvWhlUx1jZTN3KdVj_l-a8jtbybK-uDkOaHsjOpADGH9Ua-h1GYTc6j2X5XHUF6-GzPVP_tsxKmUckjLFW4mcFgPqMO0pUJYrV8Pd5WwSK3vLxmqKXjfEeyY3WP3P-fY.t3XGmcxxVbtINc9YdwcXienbDmDrDJymsmHAwNcRcLg&dib_tag=se&keywords=laptop&qid=1776263124&sprefix=lapto%2Caps%2C520&sr=8-32
413,OneAssist 2 Years Total Protection Plan for Laptop Between INR 100001-120000 (E-Mail Delivery Only),"5,599",https://amazon.in/OneAssist-Protection-Between-100001-120000-Delivery/dp/B0CM73VQGL/ref=sr_1_279?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.dRXVlZGJXgmHO2Qxx9s2gQ-5EyzKEVOVsAYFeon7qKQne_HbZtxWF-R2nTL9XY_fWDSbbldYnx7SgZmZTFMNOyDe2R8ZztG_nIkhasSUo_15DqzE239VVw6AVpBidL0CIA3iiuHJRSq2xGge8flF6nYKIPaYlAW3MW5qyoZ9TZpf_l4byPpI3if4ErhbCyOShXn3_Zkjx5m0iH5p7ak3ncx4TT23Xut7rZu9mPobipM.Nm7W0ShtpbHCmMjN0SYWx_9HNMuwa9bKCQH1Cl-3En4&dib_tag=se&keywords=laptop&qid=1776263223&sprefix=lapto%2Caps%2C520&sr=8-279
414,"Dyazo Laptop Sleeve Bag 15 to 15.6 Inch for Woman | Jute & Vegan Leather Handcrafted Slim Case with Zipper | Stylish & Durable Office Laptop Bag for Work, College and Travel",449,https://amazon.in/Dyazo-Leather-Handcrafted-Stylish-Durable/dp/B0F13MSH8G/ref=sr_1_280?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.dRXVlZGJXgmHO2Qxx9s2gQ-5EyzKEVOVsAYFeon7qKQne_HbZtxWF-R2nTL9XY_fWDSbbldYnx7SgZmZTFMNOyDe2R8ZztG_nIkhasSUo_15DqzE239VVw6AVpBidL0CIA3iiuHJRSq2xGge8flF6nYKIPaYlAW3MW5qyoZ9TZpf_l4byPpI3if4ErhbCyOShXn3_Zkjx5m0iH5p7ak3ncx4TT23Xut7rZu9mPobipM.Nm7W0ShtpbHCmMjN0SYWx_9HNMuwa9bKCQH1Cl-3En4&dib_tag=se&keywords=laptop&qid=1776263223&sprefix=lapto%2Caps%2C520&sr=8-280
415,"HP M160 USB Wired Gaming Optical Mouse with LED Backlight, 1000 DPI, 3 Buttons and Press Life Up to 3 Million Clicks, 1 Year Warranty (843W8AA, Black)",619,https://amazon.in/HP-Optical-Backlight-Warranty-843W8AA/dp/B0CCJMBQSM/ref=sr_1_281?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.dRXVlZGJXgmHO2Qxx9s2gQ-5EyzKEVOVsAYFeon7qKQne_HbZtxWF-R2nTL9XY_fWDSbbldYnx7SgZmZTFMNOyDe2R8ZztG_nIkhasSUo_15DqzE239VVw6AVpBidL0CIA3iiuHJRSq2xGge8flF6nYKIPaYlAW3MW5qyoZ9TZpf_l4byPpI3if4ErhbCyOShXn3_Zkjx5m0iH5p7ak3ncx4TT23Xut7rZu9mPobipM.Nm7W0ShtpbHCmMjN0SYWx_9HNMuwa9bKCQH1Cl-3En4&dib_tag=se&keywords=laptop&qid=1776263223&sprefix=lapto%2Caps%2C520&sr=8-281
416,FUR JADEN 15.6 Inch Laptop Backpack I Premium & Durable Vegan Leather I Anti-Theft Pocket I Breathable Air-Mesh I 30L Storage Volume I Men Women I Work Professional & Casual Use,"1,099",https://amazon.in/FUR-JADEN-Anti-Theft-Breathable-Professional/dp/B0FFHJRTN2/ref=sr_1_282?crid=1PEV1D2F313P7&dib=eyJ2IjoiMSJ9.dRXVlZGJXgmHO2Qxx9s2gQ-5EyzKEVOVsAYFeon7qKQne_HbZtxWF-R2nTL9XY_fWDSbbldYnx7SgZmZTFMNOyDe2R8ZztG_nIkhasSUo_15DqzE239VVw6AVpBidL0CIA3iiuHJRSq2xGge8flF6nYKIPaYlAW3MW5qyoZ9TZpf_l4byPpI3if4ErhbCyOShXn3_Zkjx5m0iH5p7ak3ncx4TT23Xut7rZu9mPobipM.Nm7W0ShtpbHCmMjN0SYWx_9HNMuwa9bKCQH1Cl-3En4&dib_tag=se&keywords=laptop&qid=1776263223&sprefix=lapto%2Caps%2C520&sr=8-282
